2024-06-11 17:39:47,517 - __main__ - INFO - Retrieved CSRF token: mrJnXcWt9FVSdIYfu4pNf7jTfxe720N371GbTwKf
2024-06-11 17:39:47,683 - __main__ - INFO - Login response status: 200
2024-06-11 17:39:48,109 - __main__ - INFO - Appointment: 12.06.2024, 14:15 - 17:30, Iyuno, IyunoRheingaustraße 29
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 12.06.2024, 11:45 - 13:00, TNT Media, TNT MediaAugust-Bebel-Straße 26
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 10.06.2024, 16:20 - 17:00, Eva Studios, Eva StudiosFranklinstraße 12
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 10.06.2024, 16:00 - 16:15, FFS, FFSReuchlinstraße 10-11
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 07.06.2024, 10:00 - 12:30, Iyuno, IyunoRheingaustraße 29
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 06.06.2024, 16:00 - 17:45, Eva Studios, Eva StudiosFranklinstraße 12
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 06.06.2024, 11:00 - 13:50, EuroSync, EuroSyncStraße am Flugplatz 6a
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 05.06.2024, 12:00 - 17:30, Antares, AntaresLeuschnerdamm 31
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 04.06.2024, 15:55 - 16:55, HASTINGS Music, HASTINGS MusicGroße Hamburger Straße 32 D
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 29.05.2024, 10:40 - 12:40, FFS, FFSReuchlinstraße 10-11
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 28.05.2024, 10:00 - 10:20, Antares, AntaresOberlandstraße 26-35
2024-06-11 17:39:48,110 - __main__ - INFO - Appointment: 27.05.2024, 14:00 - 15:00, VSI, VSIStralauer Allee 2 B
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 23.05.2024, 11:45 - 14:15, Level 45, Level 45August-Bebel-Straße 26-53
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 23.05.2024, 10:00 - 10:10, Iyuno, IyunoEUREF-Campus 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 22.05.2024, 15:30 - 18:00, Iyuno, IyunoEUREF-Campus 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 22.05.2024, 12:45 - 13:00, Iyuno, IyunoRheingaustraße 29
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 15.05.2024, 14:30 - 17:15, Level 45, Level 45August-Bebel-Straße 26-53
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 15.05.2024, 13:15 - 14:15, TNT Media, TNT MediaAugust-Bebel-Straße 26
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 15.05.2024, 09:00 - 11:00, FFS, FFSReuchlinstraße 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 13.05.2024, 13:25 - 15:25, FFS, FFSReuchlinstraße 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 13.05.2024, 11:45 - 12:30, Splendid, SplendidHauptstraße 9
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 13.05.2024, 10:00 - 11:00, Iyuno, IyunoEUREF-Campus 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 19.04.2024, 18:00 - 18:15, Splendid, SplendidHauptstraße 9
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 19.04.2024, 14:30 - 18:00, VSI, VSIStralauer Allee 2 B
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 18.04.2024, 13:00 - 17:30, VSI, VSIStralauer Allee 2 B
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 18.04.2024, 09:00 - 10:45, Iyuno, IyunoEUREF-Campus 10-11
2024-06-11 17:39:48,111 - __main__ - INFO - Appointment: 17.04.2024, 16:00 - 17:30, Arena, ArenaWilhelm-von-Siemens-Straße 23
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 16.04.2024, 14:00 - 18:00, Level 45, Level 45August-Bebel-Straße 26-53
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 15.04.2024, 15:15 - 17:45, FFS, FFSReuchlinstraße 10-11
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 15.04.2024, 13:45 - 14:45, FFS, FFSHohenzollerndamm 150
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 15.04.2024, 09:00 - 13:00, VSI, VSIStralauer Allee 2 B
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 13.04.2024, 11:30 - 12:30, Eva Studios, Eva StudiosFranklinstraße 12
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 12.04.2024, 14:00 - 14:20, Splendid, SplendidHauptstraße 9
2024-06-11 17:39:48,112 - __main__ - INFO - Appointment: 12.04.2024, 09:30 - 13:30, Iyuno, IyunoEUREF-Campus 10-11
2024-06-11 17:39:48,112 - __main__ - ERROR - Token not available!
2024-06-11 17:39:48,112 - __main__ - INFO - Token value: Token not available!
2024-06-11 17:39:48,833 - __main__ - ERROR - Failed to fetch weather data, status code: 429
